2070,30.72
2075,30.47
2080,30.72
2085,30.47
2090,30.47
2095,30.47
2100,30.72
2105,30.47
2110,30.72
2115,30.72
2120,30.47
2125,30.47
2130,30.47
2135,30.47
2140,30.47
2145,30.47

Beginning...

Enter a temperature in the form of '12.34' to set the current temperature.  Two dot two characters, no more or less
0,34.00
5,36.25
30.47
New calibration applied!
10,30.72
15,31.22
20,30.97
25,30.97
30,30.97
35,31.22
40,33.22
45,32.47
50,32.47
55,32.97
60,34.22
65,33.97
70,34.22
75,34.22
80,34.22
85,33.97
90,33.72
95,33.72
100,33.97
105,33.97
110,33.97
115,33.97
120,33.97
125,33.97
130,33.97
135,34.22
140,34.22
145,34.22
150,34.22
155,34.22
160,33.97
165,34.22
170,34.22
175,34.22
180,34.22
185,34.22
190,33.97
195,34.47
200,34.47
205,34.47
210,34.47
215,34.47
220,34.47
225,34.47
230,34.72
235,36.22
240,37.72
245,39.47
250,39.72
255,40.22
260,40.47
265,40.97
270,41.22
275,41.47
280,41.72
285,41.97
290,41.97
295,41.97
300,42.22
305,42.22
310,42.47
315,42.72
320,42.72
325,42.97
330,42.97
335,42.97
340,43.22
345,42.97
350,42.97
355,42.97
360,42.97
365,43.22
370,43.47
375,43.22
380,43.47
385,43.72
390,43.72
395,43.72
400,43.72
405,43.72
410,43.72
415,45.97
420,48.97
425,50.47
430,50.47
435,51.22
440,51.72
445,51.72
450,52.22
455,52.47
460,52.97
465,52.97
470,53.47
475,53.72
480,53.97
485,53.97
490,53.97
495,54.22
500,54.47
505,54.47
510,54.72
515,54.72
520,54.97
525,55.22
530,55.22
535,55.22
540,55.47
545,55.47
550,55.72
555,55.72
560,55.72
565,55.72
570,55.72
575,55.97
580,55.97
585,55.97
590,56.22
595,56.47
600,56.47
605,56.47
610,56.47
615,56.47
620,56.22
625,56.22
630,56.22
635,56.47
640,56.72
645,56.72
650,56.72
655,56.97
660,56.97
665,56.97
670,57.22
675,57.22
680,56.97
685,56.97
690,59.22
695,62.72
700,65.47
705,66.47
710,67.72
715,68.47
720,69.22
725,69.97
730,70.22
735,70.47
740,71.97
745,72.22
750,72.72
755,72.97
760,73.47
765,73.97
770,74.22
775,74.47
780,74.47
785,74.72
790,74.97
795,74.72
800,74.97
805,75.22
810,75.47
815,75.47
820,75.72
825,76.22
830,76.47
835,76.47
840,76.72
845,76.97
